,id,index,period,timestamp,minute,second,possession,duration,match_id,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,end_x,end_y,body_part_id,body_part_name,sub_type_id,sub_type_name,x,y,outcome_id,outcome_name,counterpress,under_pressure,dribble_overrun,pass_cross,pass_cut_back,off_camera,out,aerial_won,pass_switch,ball_recovery_recovery_failure,foul_committed_card_id,foul_committed_card_name,technique_id,technique_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,end_z,shot_key_pass_id,goalkeeper_position_id,goalkeeper_position_name,foul_won_defensive,substitution_replacement_id,substitution_replacement_name,shot_first_time,shot_one_on_one,pass_deflected,pass_goal_assist,pass_no_touch,block_offensive,block_deflection,injury_stoppage_in_chain,block_save_block,foul_committed_advantage,foul_won_advantage,dribble_nutmeg,foul_committed_offensive,bad_behaviour_card_id,bad_behaviour_card_name,shot_deflected,shot_open_goal,ball_recovery_offensive,pass_miscommunication,player_off_permanent,dribble_no_touch,foul_committed_penalty,foul_won_penalty,shot_follows_dribble,shot_redirect
2354,845dc171-f3a0-44d6-a881-a957ba4f41a1,808,1,00:24:53,24,53,53,0.681301,3813301,16,Shot,7285,NorthEast United,4,From Throw In,7285,NorthEast United,,32394.0,Khassa Camara,10.0,Center Defensive Midfield,,,,,,,120.0,38.8,38.0,Left Foot,87.0,Open Play,83.7375,29.410000000000004,98.0,Off T,,,,,,,,,,,,,93.0,Normal,,,0.07435023,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2355,77045866-d04a-41d0-a496-0e87546c6d09,916,1,00:27:13,27,13,58,1.439001,3813301,16,Shot,7291,Odisha,4,From Throw In,7291,Odisha,,24268.0,Ariday Cabrera Suárez,21.0,Left Wing,,,,,,,120.0,63.8,40.0,Right Foot,87.0,Open Play,80.0625,13.430000000000001,101.0,Wayward,,,,,,,1.0,,,,,,93.0,Normal,,,0.0062810387,,aa139a67-8530-4437-8200-119401ee1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2356,4f5c63d9-ad7c-4331-b3a1-eefbda8604dc,1279,1,00:39:06,39,6,80,0.553106,3813301,16,Shot,7285,NorthEast United,1,Regular Play,7285,NorthEast United,,34146.0,Deshorn Brown,23.0,Center Forward,,,,,,,120.0,34.2,38.0,Left Foot,87.0,Open Play,95.9,24.99,98.0,Off T,,,,,,,,,,,,,93.0,Normal,,,0.13295649,0.2,e7e97c43-5cbb-411c-b3eb-16854d7961ab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2357,e35e2cc0-aef3-45b7-abd6-af96e023d2ca,1337,1,00:40:47,40,47,84,0.714183,3813301,16,Shot,7285,NorthEast United,6,From Counter,7285,NorthEast United,,34146.0,Deshorn Brown,23.0,Center Forward,,,,,,,120.0,37.4,38.0,Left Foot,87.0,Open Play,86.8875,23.714999999999996,98.0,Off T,,1.0,,,,,,,,,,,91.0,Half Volley,,,0.07094602,6.7,83e62821-743e-4599-9ef9-490a4f42f971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2358,7b46a66f-bc95-42b3-aeca-9b8f20422771,1416,1,00:43:05,43,5,90,0.176197,3813301,16,Shot,7285,NorthEast United,6,From Counter,7285,NorthEast United,,162751.0,Rochharzela Rochharzela,17.0,Right Wing,,,,,,,107.7,42.3,38.0,Left Foot,87.0,Open Play,93.45,36.125,96.0,Blocked,,1.0,,,,,,,,,,,93.0,Normal,,,0.09506684,,a750e760-d74a-4580-9e65-3d9e02261d78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2359,2ef476a2-1f20-46dc-a012-696741c5830f,1421,1,00:43:07,43,7,90,0.315362,3813301,16,Shot,7285,NorthEast United,6,From Counter,7285,NorthEast United,,34146.0,Deshorn Brown,23.0,Center Forward,,,,,,,119.0,34.5,40.0,Right Foot,87.0,Open Play,103.25,24.055,100.0,Saved,,,,,,,,,,,,,93.0,Normal,,,0.024034189,1.6,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
2360,6d0f7e52-d345-404a-840c-672f300e4388,1424,1,00:43:10,43,10,90,0.708658,3813301,16,Shot,7285,NorthEast United,1,Regular Play,7285,NorthEast United,,162753.0,Suhair Vadakkepeedika,21.0,Left Wing,,,,,,,113.9,39.7,40.0,Right Foot,87.0,Open Play,88.55,27.03,96.0,Blocked,,,,,,,,,,,,,95.0,Volley,,,0.038180646,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
2361,11003a64-5331-412b-9eb0-d4f43b05aa9d,1434,1,00:44:01,44,1,91,0.347779,3813301,16,Shot,7285,NorthEast United,4,From Throw In,7285,NorthEast United,,162751.0,Rochharzela Rochharzela,17.0,Right Wing,,,,,,,108.0,44.0,40.0,Right Foot,87.0,Open Play,90.125,39.185,96.0,Blocked,,,,,,,,,,,,,91.0,Half Volley,,,0.08931023,,078978cb-1436-44f8-bb8f-3a5bf9b24ff4,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
2362,4814e127-d2fc-4daa-b219-1c11b951f32e,1505,1,00:45:20,45,20,95,0.09864,3813301,16,Shot,7285,NorthEast United,1,Regular Play,7285,NorthEast United,,162762.0,Mathias Coureur,13.0,Right Center Midfield,,,,,,,105.9,37.5,40.0,Right Foot,87.0,Open Play,91.0,32.214999999999996,96.0,Blocked,,,,,,,,,,,,,95.0,Volley,,,0.07415995,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
2363,c0721119-615e-4b42-aa0a-76f55af91abf,1736,2,00:03:31,48,31,110,0.071848,3813301,16,Shot,7285,NorthEast United,1,Regular Play,7285,NorthEast United,,162751.0,Rochharzela Rochharzela,17.0,Right Wing,,,,,,,103.4,36.6,38.0,Left Foot,87.0,Open Play,88.6375,31.110000000000003,96.0,Blocked,,,,,,,,,,,,,93.0,Normal,,,0.060209643,,1f4eb716-a0ca-4b1f-8c10-3ca3f65e31b0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
